temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,time
68.54,69.22,65.19,70.41,1014,88,1014,1010,28-Jul-2025 10:05:06
68.97,69.66,66.15,70.57,1014,87,1014,1011,28-Jul-2025 10:59:35
70.45,71.28,68.09,72.32,1015,87,1015,1011,28-Jul-2025 12:10:07
73.54,74.7,69.75,77.22,1015,87,1015,1012,28-Jul-2025 13:15:06
78.22,79.41,73.67,82.53,1015,78,1015,1012,28-Jul-2025 14:05:24
83.66,88.86,79.14,86.43,1015,67,1015,1011,28-Jul-2025 15:12:50
86.27,92.37,82,89.15,1015,62,1015,1011,28-Jul-2025 16:05:10
88.02,94.28,84.47,91.53,1015,58,1015,1010,28-Jul-2025 17:00:05
88.36,95.45,84.09,92.55,1014,59,1014,1010,28-Jul-2025 18:05:08
88.21,95.14,84.09,92.62,1014,59,1014,1010,28-Jul-2025 19:05:00
86.9,92.86,83.08,92.34,1014,60,1014,1009,28-Jul-2025 20:08:58
85.75,90.63,81.23,90.57,1014,60,1014,1009,28-Jul-2025 21:05:03
84.76,89.13,81.41,89.51,1013,61,1013,1009,28-Jul-2025 22:04:30
82.42,86.09,77.23,86.58,1014,65,1014,1009,28-Jul-2025 23:08:12
77.43,78.31,73.15,81.41,1014,73,1014,1010,29-Jul-2025 00:31:10
76.08,76.96,72.07,79.14,1014,76,1014,1010,29-Jul-2025 01:31:55
74.8,75.74,71.08,77.16,1015,80,1015,1011,29-Jul-2025 02:41:07
74.55,75.42,71.22,77.85,1015,79,1015,1011,29-Jul-2025 03:28:30
75.38,76.57,71.13,77.16,1015,84,1015,1011,29-Jul-2025 04:20:40
74.79,75.96,70.29,76.21,1015,85,1015,1011,29-Jul-2025 05:09:02
74.12,75.13,69.91,76.06,1014,83,1014,1010,29-Jul-2025 06:11:42
73.62,74.62,69.31,75.16,1014,84,1014,1010,29-Jul-2025 07:04:19
73.17,74.17,69.35,74.84,1014,85,1014,1010,29-Jul-2025 07:59:26
72.73,73.74,69.15,74.41,1014,86,1014,1010,29-Jul-2025 09:07:58
72.59,73.54,69.51,74.08,1014,85,1014,1010,29-Jul-2025 10:00:07
78.48,79.68,75.09,80.94,1014,78,1014,1011,29-Jul-2025 12:13:37
83.59,89.01,80.58,86.09,1014,68,1014,1011,29-Jul-2025 13:14:32
87.42,94.8,84.88,90.27,1014,62,1014,1011,29-Jul-2025 14:06:21
90.63,99.45,87.85,93.51,1014,57,1014,1010,29-Jul-2025 15:02:30
93.52,103.1,90.99,96.12,1014,52,1014,1010,29-Jul-2025 16:07:58
95.81,103.62,92.98,98.44,1013,45,1013,1009,29-Jul-2025 17:07:46
97.07,104.32,94.66,99.5,1013,42,1013,1008,29-Jul-2025 18:06:00
97.93,104.77,95.65,100.33,1012,40,1012,1007,29-Jul-2025 19:06:07
97.88,105.35,95.65,100.09,1012,41,1012,1007,29-Jul-2025 20:05:09
97.43,104.4,94.68,99.14,1012,41,1012,1007,29-Jul-2025 21:05:04
96.89,102.63,93.67,98.94,1012,40,1012,1008,29-Jul-2025 21:59:40
93.9,98.55,89.73,96.01,1012,43,1012,1008,29-Jul-2025 23:04:37
86.34,90.66,82.71,88.56,1013,57,1013,1008,30-Jul-2025 00:25:48
82.76,85.98,78.51,84.56,1014,62,1014,1010,30-Jul-2025 01:35:13
80.67,83.61,75.99,82.35,1014,67,1014,1010,30-Jul-2025 02:45:00
79.43,79.43,74.5,81.32,1014,69,1014,1010,30-Jul-2025 03:32:56
78.57,79.41,73.2,80.67,1014,70,1014,1010,30-Jul-2025 04:19:04
77.22,78.03,72.37,79.14,1014,72,1014,1010,30-Jul-2025 05:04:30
75.78,76.53,71.85,77.36,1014,74,1014,1010,30-Jul-2025 06:12:15
74.84,75.54,70.57,77.16,1014,75,1014,1010,30-Jul-2025 07:08:06
73.99,74.62,69.21,76.15,1014,75,1014,1010,30-Jul-2025 08:10:55
72.82,73.56,68.31,75.09,1014,80,1014,1011,30-Jul-2025 09:02:36
71.73,72.36,67.5,74.16,1014,80,1014,1011,30-Jul-2025 10:06:47
73.24,73.98,69.21,75.97,1016,79,1016,1012,30-Jul-2025 10:55:31
78.66,79.38,75.31,81.27,1015,67,1015,1012,30-Jul-2025 12:06:01
82.58,85.06,79.29,85.44,1015,59,1015,1011,30-Jul-2025 13:07:18
86.02,89.11,82.17,89.11,1015,54,1015,1011,30-Jul-2025 14:10:55
88.02,91.81,84.22,91.33,1015,52,1015,1010,30-Jul-2025 15:00:32
89.89,94.39,86,93.43,1015,50,1015,1010,30-Jul-2025 16:07:56
91.26,96.04,87.01,95.32,1014,48,1014,1009,30-Jul-2025 17:01:45
92.98,97.84,89.01,96.53,1014,45,1014,1009,30-Jul-2025 18:03:15
